GHGRP_ID,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1006199,42020,46196,48082,44947,42774,45951,43698,45236,51185,59391,59497,61764
1004171,82633,43305,40428,36574,29502,26361,25848,26468,25286,0,0,0
1002600,53310,49901,51646,50164,52141,52845,38114,43291,77273,0,79489,80168
1001811,28812,0,25428,27352,28556,25458,25801,26872,26682,0,0,0
1002274,53903,44367,44797,49319,50937,51247,43986,50356,43827,37558,47893,47044
1010646,32042,31678,30616,28607,26487,27016,27864,29836,27977,26196,30243,32878
1004915,31421,26444,47208,47115,44037,46200,46629,41918,44858,39326,41954,41326
1001667,0,106958,98517,83130,78893,82660,82041,26195,0,0,0,0
1005307,0,0,25879,26201,0,0,25440,26422,27044,28147,27062,0
1004581,47465,42611,46557,46486,42745,42532,44416,51269,50999,45771,43819,45948
1002399,76380,58895,64086,74780,46841,60474,63126,69252,73122,66139,48501,61274
1011772,0,0,0,30317,30292,29611,30587,27642,30618,27616,25962,25607
1002105,60186,57836,58039,56003,56409,56146,59372,59856,60336,53191,59469,36494
1007232,158651,142069,149570,152416,165020,169266,164796,173135,164598,152368,146273,146658
1005264,55677,43871,42911,43742,43326,42735,42223,44628,44096,39350,43740,42669
1003297,91822,55268,88678,87158,82462,81530,82816,89001,88264,88886,83859,98023
1006236,48950,44478,47400,53486,50701,50994,50731,53763,51896,49759,49174,51409
1005464,35952,36113,37054,34468,34838,29305,0,38000,42084,37731,36030,38414
1005785,28234,27574,28608,30713,26858,26529,30052,27981,0,0,0,0
1004388,48907,45538,62437,52344,61391,62840,50139,41299,37379,36151,34398,36503
1014675,0,0,0,0,0,0,0,0,0,0,0,41908
1013779,0,0,0,0,0,0,0,25238,0,0,0,0
1001290,33625,27457,27100,30650,27095,25449,25813,27974,27820,26617,25363,26417
1003713,167456,95883,98237,155591,108250,84903,92303,96495,90929,90220,93365,99635
1002641,327281,318082,309229,300165,287856,253123,247392,243515,230995,203541,208785,211657
1006614,33250,33274,33655,35512,32684,30390,30920,31881,31195,30701,32735,29054
1012839,0,0,0,26533,34183,35057,36070,38921,35226,29264,30445,30499
1003550,39640,33022,35632,36323,33790,0,33886,36269,38379,34168,35754,38163
1006759,56366,56190,49047,47090,45750,49725,49211,51570,39240,32117,38659,39461
1006955,89915,108433,114783,111918,108352,110051,95732,109722,109222,121266,127694,127683
1001886,59017,60004,62290,61258,60044,59204,52087,57177,53499,55110,61736,59393
1005305,60733,43512,53415,53279,41382,29299,25623,28017,0,0,0,0
1001250,541863,474995,480548,428783,436466,437071,339221,365556,374534,337811,345753,334551
1004834,31406,34765,47924,51750,48492,49260,36835,42534,39845,42931,39716,39312
1001289,141908,137864,140448,145000,141797,128376,106789,131470,123487,111369,131848,168494
1013525,0,0,0,0,0,0,0,0,0,0,0,26663
1002987,34102,34082,34058,36853,39723,35836,36341,44041,37878,36902,37449,38103
1005699,62454,74446,94516,101258,96592,93595,89428,95417,106751,99958,111729,115669
1005544,33840,32303,31197,32089,32266,35053,31169,30402,32447,31903,33437,31695
1004629,99319,82713,84233,88244,86456,82316,74344,78742,78604,64779,69276,61670
1005277,30348,31573,33735,31160,31316,28985,30011,30846,29883,27380,27139,26792
1004520,64538,65186,58184,66337,69467,73040,71180,77878,77089,67444,70779,73039
1004522,35482,31277,34521,34007,29944,28976,29358,28405,0,0,25738,29924
1006948,75425,48460,0,53733,43346,34236,26847,29461,29877,28339,27342,25371
1001634,0,0,0,0,0,0,0,0,0,0,0,25125
1004658,46971,44137,48202,43242,39790,36610,38549,37261,40208,38310,35505,34903
1001751,184969,168078,169030,167739,136984,109137,109250,114504,112120,105317,107885,122544
1000165,409031,396771,341668,327752,305962,328186,284953,279655,309999,304068,352284,327645
1004671,30084,29449,0,0,26262,0,25351,0,0,0,0,0
1006073,34359,28019,0,0,0,0,25908,0,32089,0,0,0
1006187,95408,86822,121998,95340,98487,93797,98695,127460,103082,89608,123290,103294
1005495,63740,67128,61675,70511,79691,73671,71530,65314,68058,41745,32160,42679
1000079,123434,158890,111681,103502,97992,104919,99126,104890,101360,91810,97357,95205
1007385,0,0,0,0,26280,0,0,0,0,0,0,0
1007087,55283,52283,56438,57902,61747,53315,55055,56552,58528,55093,53739,53301
1012093,50401,50283,48094,52015,49903,41999,41029,42351,42738,34973,45116,50927
1005851,33995,32650,33901,37545,38004,36048,37242,54088,38397,31736,33532,35109
1005471,29925,28491,30574,35368,27673,29952,30056,30154,27449,28068,28336,29880
1004040,58565,55315,54113,66765,66681,60572,53715,60060,64545,63068,61928,64905
1006075,30929,30775,31337,28086,33973,31822,32406,33410,34257,0,34416,0
1001922,26088,0,0,0,0,27369,33595,35387,34986,33973,0,28656
1001868,87393,101460,83542,85575,81702,75262,82233,98674,81589,68723,71614,69076
1000396,149244,143236,152098,166298,159750,151461,148413,156279,148496,138885,142264,149074
