FACILITY,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY,COUNTY,STATE,ZIP CODE,PARENT COMPANIES,SUBPARTS,"TOTAL REPORTED EMISSIONS, 2011","TOTAL REPORTED EMISSIONS, 2012","TOTAL REPORTED EMISSIONS, 2013","TOTAL REPORTED EMISSIONS, 2014","TOTAL REPORTED EMISSIONS, 2015","TOTAL REPORTED EMISSIONS, 2016","TOTAL REPORTED EMISSIONS, 2017","TOTAL REPORTED EMISSIONS, 2018","TOTAL REPORTED EMISSIONS, 2019","TOTAL REPORTED EMISSIONS, 2020","TOTAL REPORTED EMISSIONS, 2021","TOTAL REPORTED EMISSIONS, 2022",CHANGE IN EMISSIONS (2021 TO 2022),CHANGE IN EMISSIONS (2011 TO 2022),SECTORS
ARIZONA STATE UNIVERSITY,1006199,"300 E. University Drive, Suite 320",33.42195,-111.935,TEMPE,MARICOPA COUNTY,AZ,85281,ARIZONA STATE UNIVERSITY (100%),C,"42,020","46,196","48,082","44,947","42,774","45,951","43,698","45,236","51,185","59,391","59,497","61,764","2,267","19,745",Other
BALL STATE UNIVERSITY,1004171,2000 W UNIVERSITY AVE,40.19765,-85.40893,MUNCIE,DELAWARE COUNTY,IN,47306,STATE OF INDIANA (100%),C,"82,633","43,305","40,428","36,574","29,502","26,361","25,848","26,468","25,286",---,---,---,---,---,Other
BRIGHAM YOUNG UNIVERSITY,1002600,B-340 ASB,40.25243,-111.65027,PROVO,UTAH COUNTY,UT,84602,CORP OF THE PRESIDENT OF THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS (100%),C,"53,310","49,901","51,646","50,164","52,141","52,845","38,114","43,291","77,273","52,209","79,489","80,168",678,"26,858",Other
BROWN UNIVERSITY MAIN CAMPUS,1001811,164 ANGELL STREET,41.99158,-71.510908,PROVIDENCE,PROVIDENCE COUNTY,RI,02912,BROWN UNIVERSITY IN PROVIDENCE IN THE STATE OF RHODE ISLAND &  PROVIDENCE PLANTATIONS (100%),C,"28,812",---,"25,428","27,352","28,556","25,458","25,801","26,872","26,682",---,---,---,---,---,Other
Boston University,1002274,120 Ashford Street,42.35395,-71.12204,Boston,SUFFOLK COUNTY,MA,02134,TRUSTEES OF BOSTON UNIVERSITY (100%),C,"53,903","44,367","44,797","49,319","50,937","51,247","43,986","50,356","43,827","37,558","47,893","47,044",-849,"-6,859",Other
Bucknell University,1010646,1 Dent Drive,40.95685,-76.88356,Lewisburg,UNION COUNTY,PA,17837,BUCKNELL UNIVERSITY (100%),C,"32,042","31,678","30,616","28,607","26,487","27,016","27,864","29,836","27,977","26,196","30,243","32,878","2,635",836,Other
CENTRAL ENERGY FACILITY,1004915,1720 S EAST CAMPUS DRIVE,43.585522,-84.77121,MOUNT PLEASANT,ISABELLA COUNTY,MI,48859,CENTRAL MICHIGAN UNIVERSITY (100%),C,"31,421","26,444","47,208","47,115","44,037","46,200","46,629","41,918","44,858","39,326","41,954","41,326",-628,"9,904",Other
CI Power Cogeneration Plant,1001667,1947 West Potrero Road,34.158675,-118.992159,Camarillo,VENTURA COUNTY,CA,93012,CSU TRUSTEES & CSUCI SITE AUTHORITY (100%),C,---,"106,958","98,517","83,130","78,893","82,660","82,041","26,195",---,---,---,---,---,---,Other
CLEMSON UNIVERSITY,1005307,"120 UNIVERSITY FAC, KLUGH AVENUE, BOX 345909",34.69388,-82.83934,CLEMSON,PICKENS COUNTY,SC,29634,STATE OF SOUTH CAROLINA (100%),C,---,---,"25,879","26,201",---,---,"25,440","26,422","27,044","28,147","27,062",---,---,---,Other
COLORADO STATE UNIVERSITY,1004581,6030 Campus Delivery,40.57,-105.09,FORT COLLINS,LARIMER COUNTY,CO,80523,COLORADO STATE UNIVERSITY SYSTEM (100%),C,"47,465","42,611","46,557","46,486","42,745","42,532","44,416","51,269","50,999","45,771","43,819","45,948","2,129","-1,516",Other
